,month,artist,ms_played
0,2021-11-01,88rising,1232746
1,2021-11-01,ASL,1619762
2,2021-11-01,Alabama Shakes,1409133
3,2021-11-01,Aminé,5194966
4,2021-11-01,Anderson .Paak,2229158
5,2021-11-01,Baby Keem,4227456
6,2021-11-01,Big Wild,180814
7,2021-11-01,Billie Eilish,1220273
8,2021-11-01,Brittany Howard,748960
9,2021-11-01,Brothers Osborne,792654
10,2021-11-01,Bruno Mars,2451269
11,2021-11-01,COIN,4590830
12,2021-11-01,Calvin Harris,1273062
13,2021-11-01,Charlie Puth,202876
14,2021-11-01,Chris Stapleton,2172110
15,2021-11-01,Creedence Clearwater Revival,1448053
16,2021-11-01,Daniel Caesar,1847374
17,2021-11-01,Denzel Curry,562984
18,2021-11-01,Disclosure,683689
19,2021-11-01,Drake,920344
20,2021-11-01,Dua Lipa,4347677
21,2021-11-01,Duckwrth,3102677
22,2021-11-01,Electric Light Orchestra,343036
23,2021-11-01,Elise Trouw,115701
24,2021-11-01,Elton John,1335592
25,2021-11-01,Fall Out Boy,213912
26,2021-11-01,Florence + The Machine,1217187
27,2021-11-01,Foo Fighters,2148334
28,2021-11-01,Frank Ocean,6944045
29,2021-11-01,Gallant,1258566
30,2021-11-01,GoldLink,2877766
31,2021-11-01,Greta Van Fleet,1016752
32,2021-11-01,Joji,1280895
33,2021-11-01,Kanye West,7279522
34,2021-11-01,Kendrick Lamar,5123463
35,2021-11-01,Khalid,1113444
36,2021-11-01,Lake Street Dive,36905889
37,2021-11-01,Lauv,1224292
38,2021-11-01,Lorde,2723464
39,2021-11-01,Mac Miller,3020705
40,2021-11-01,Maggie Rogers,1143275
41,2021-11-01,Major Lazer,1625099
42,2021-11-01,Midland,1640112
43,2021-11-01,Mo Lowda & the Humble,1307932
44,2021-11-01,Motel Radio,763977
45,2021-11-01,OneRepublic,1138258
46,2021-11-01,Post Malone,1372449
47,2021-11-01,Rainbow Kitten Surprise,506353
48,2021-11-01,Remi Wolf,2619425
49,2021-11-01,Rex Orange County,876825
50,2021-11-01,ScHoolboy Q,615153
51,2021-11-01,Shovels & Rope,3264394
52,2021-11-01,Surfaces,1211814
53,2021-11-01,Tame Impala,897755
54,2021-11-01,Taylor Swift,17974278
55,2021-11-01,The Brook & The Bluff,734065
56,2021-11-01,"Tyler, The Creator",1922925
57,2021-11-01,Zara Larsson,638765
58,2021-12-01,88rising,1746459
59,2021-12-01,ASL,3221572
60,2021-12-01,Alabama Shakes,3588579
61,2021-12-01,Aminé,9662463
62,2021-12-01,Anderson .Paak,4092811
63,2021-12-01,Baby Keem,7618989
64,2021-12-01,Big Wild,16995271
65,2021-12-01,Billie Eilish,1438719
66,2021-12-01,Brittany Howard,2026637
67,2021-12-01,Brothers Osborne,1165143
68,2021-12-01,Bruno Mars,7707282
69,2021-12-01,COIN,5828131
70,2021-12-01,Calvin Harris,2866460
71,2021-12-01,Charlie Puth,402337
72,2021-12-01,Chris Stapleton,3219053
73,2021-12-01,Creedence Clearwater Revival,1885570
74,2021-12-01,Daniel Caesar,3208795
75,2021-12-01,Denzel Curry,750464
76,2021-12-01,Disclosure,2009351
77,2021-12-01,Drake,1190202
78,2021-12-01,Dua Lipa,7401715
79,2021-12-01,Duckwrth,5196984
80,2021-12-01,Electric Light Orchestra,815080
81,2021-12-01,Elise Trouw,115701
82,2021-12-01,Elton John,2226761
83,2021-12-01,Fall Out Boy,460434
84,2021-12-01,Florence + The Machine,1844498
85,2021-12-01,Foo Fighters,3019188
86,2021-12-01,Frank Ocean,29686928
87,2021-12-01,Gallant,1462422
88,2021-12-01,GoldLink,3713777
89,2021-12-01,Greta Van Fleet,1606752
90,2021-12-01,Joji,1676577
91,2021-12-01,Kanye West,9203987
92,2021-12-01,Kendrick Lamar,7929184
93,2021-12-01,Khalid,3115704
94,2021-12-01,Lake Street Dive,65029085
95,2021-12-01,Lauv,1712458
96,2021-12-01,Lorde,4015104
97,2021-12-01,Mac Miller,6239803
98,2021-12-01,Maggie Rogers,2047101
99,2021-12-01,Major Lazer,3259865
100,2021-12-01,Midland,4662809
101,2021-12-01,Mo Lowda & the Humble,1633936
102,2021-12-01,Motel Radio,8061580
103,2021-12-01,OneRepublic,1812184
104,2021-12-01,Post Malone,2264048
105,2021-12-01,Rainbow Kitten Surprise,1204763
106,2021-12-01,Remi Wolf,4338931
107,2021-12-01,Rex Orange County,1398154
108,2021-12-01,ScHoolboy Q,1020644
109,2021-12-01,Sean Dagher,4925705
110,2021-12-01,Shovels & Rope,4844739
111,2021-12-01,Surfaces,3223784
112,2021-12-01,Tame Impala,1362616
113,2021-12-01,Taylor Swift,57377495
114,2021-12-01,The Brook & The Bluff,734885
115,2021-12-01,The Longest Johns,8659423
116,2021-12-01,"Tyler, The Creator",8581554
117,2021-12-01,Zara Larsson,1481060
118,2022-01-01,88rising,3080059
119,2022-01-01,ASL,3661871
120,2022-01-01,Alabama Shakes,5451671
121,2022-01-01,Aminé,20355122
122,2022-01-01,Anderson .Paak,6584938
123,2022-01-01,Baby Keem,9803971
124,2022-01-01,Big Wild,19229186
125,2022-01-01,Billie Eilish,2610159
126,2022-01-01,Brittany Howard,3087732
127,2022-01-01,Brothers Osborne,2236212
128,2022-01-01,Bruno Mars,8634131
129,2022-01-01,COIN,7536445
130,2022-01-01,Calvin Harris,5219904
131,2022-01-01,Charlie Puth,755327
132,2022-01-01,Chris Stapleton,5933978
133,2022-01-01,Creedence Clearwater Revival,2643724
134,2022-01-01,Daniel Caesar,4805126
135,2022-01-01,Denzel Curry,2395112
136,2022-01-01,Disclosure,3995250
137,2022-01-01,Drake,3234030
138,2022-01-01,Dua Lipa,10163905
139,2022-01-01,Duckwrth,6250631
140,2022-01-01,Electric Light Orchestra,899966
141,2022-01-01,Elise Trouw,374905
142,2022-01-01,Elton John,2408947
143,2022-01-01,Fall Out Boy,1576358
144,2022-01-01,Florence + The Machine,4001489
145,2022-01-01,Foo Fighters,4512397
146,2022-01-01,Frank Ocean,36311592
147,2022-01-01,Gallant,3154501
148,2022-01-01,GoldLink,4992132
149,2022-01-01,Greta Van Fleet,2576143
150,2022-01-01,Joji,2909342
151,2022-01-01,Kanye West,12722961
152,2022-01-01,Kendrick Lamar,12375891
153,2022-01-01,Khalid,4293142
154,2022-01-01,Khruangbin,190433
155,2022-01-01,Lake Street Dive,89180548
156,2022-01-01,Lauv,2714133
157,2022-01-01,Lorde,6237047
158,2022-01-01,Mac Miller,13954741
159,2022-01-01,Maggie Rogers,2702194
160,2022-01-01,Major Lazer,5432090
161,2022-01-01,Midland,6820579
162,2022-01-01,Mo Lowda & the Humble,2092268
163,2022-01-01,Motel Radio,18901576
164,2022-01-01,OneRepublic,2480875
165,2022-01-01,Post Malone,2727210
166,2022-01-01,Rainbow Kitten Surprise,2333497
167,2022-01-01,Remi Wolf,5120444
