,artist,track,uri,time,ms_played
0,Kendrick Lamar,XXX. FEAT. U2.,spotify:track:4iYRa2btalAzPZoSYfROqF,2021-11-11 00:00,254200
1,KAYTRANADA,GLOWED UP,spotify:track:4v20N4W83XDJORt7WCedII,2021-11-11 00:10,298026
2,Marc Broussard,Come in from the Cold - Live at Dockside Studio,spotify:track:4MjIaeN8gZQ4uRrcUnXpIV,2021-11-11 00:14,252799
3,88rising,Walking (feat. Swae Lee & Major Lazer),spotify:track:1qbXrxctv75pm1lWCn6Zw3,2021-11-11 00:17,167080
4,Kendrick Lamar,LOVE. FEAT. ZACARI.,spotify:track:6PGoSes0D9eUDeeAafB2As,2021-11-11 00:21,213400
5,The Brook & The Bluff,Misnomer,spotify:track:3awBLJoDSXa3TjQeDNhGlq,2021-11-11 00:24,222815
6,Fulton Lee,Love Falls Down,spotify:track:5dsG5uSqcfnw44SxpP2y94,2021-11-11 00:28,187951
7,Gibson Brothers,Everybody Hurts,spotify:track:2Y8M6qtbpekSfiAitSqWGZ,2021-11-11 00:31,213843
8,Kendrick Lamar,King Kunta,spotify:track:0N3W5peJUQtI4eyR6GJT5O,2021-11-11 00:35,234693
9,Hey Steve,Miss Prince,spotify:track:4vIcKCVTVXwTV7r6Ji0LfP,2021-11-11 01:29,840
10,Easy Giant,Comes the Light,spotify:track:4L1DtMTDMEtDJQiE0ICIj2,2021-11-11 01:29,1010
11,Jerry Garcia,Let It Rock,spotify:track:6ja9WsXHcz9s6Egpy8b9az,2021-11-11 01:29,84638
12,Pell,Pass By,spotify:track:5pivvXODUHrySXqmHmGv7W,2021-11-11 01:29,780
13,GoldLink,Herside Story,spotify:track:564oa00vY05d1uYnTEAAmE,2021-11-11 01:29,720
14,Lennon Stella,La Di Da,spotify:track:2YyvWje3cEYyqgYhNUIaBJ,2021-11-11 01:29,1240
15,Bryson Tiller,Rambo,spotify:track:5RqsqQU0erB0OgLbwem6pU,2021-11-11 01:29,570
16,88rising,Midsummer Madness,spotify:track:6TodWdTSDfzwgYynTZSvJn,2021-11-11 01:29,880
17,Leo Sayer,You Make Me Feel Like Dancing - Remastered,spotify:track:6gTrbqZnyljwXdYQTyBkSx,2021-11-11 01:33,1250
18,Tyla Yaweh,Tommy Lee (feat. Post Malone) - Tommy Lee Remix,spotify:track:4Rq2BMG5VWMhb2whSx8bf4,2021-11-11 01:33,1060
