artist,track,uri,sum_stream_time,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Plain Faraday,Pink Blazer,spotify:track:0K9502eWZqxvqlfSYgzY2n,412223,0.773,0.378,7,-6.642,1,0.196,0.258,1.23e-05,0.0799,0.85,78.994,242925,4
The Longest Johns,Hammer And The Anvil,spotify:track:5p2UScFyWs7RcAtZyPR6qx,168213,0.9,0.515,3,-9.93,0,0.379,0.589,0.0,0.156,0.69,99.093,168213,4
070 Shake,Guilty Conscience,spotify:track:0smgkpVia3VCXgY4qhVJvp,871890,0.539,0.638,7,-6.049,1,0.136,0.00676,0.0,0.123,0.222,179.822,213333,4
Peter Gabriel,Solsbury Hill,spotify:track:1CM1wOqD2AIjt2MWd31LV2,10266,0.683,0.63,11,-8.844,1,0.0296,0.363,0.000873,0.314,0.481,102.457,261440,1
Myles Cameron,Yellow,spotify:track:63JI1eChXTXh8tucea76Xd,459406,0.49,0.388,7,-10.696,1,0.0388,0.763,0.345,0.153,0.128,147.886,223378,4
Otto A. Totland,Solêr,spotify:track:3SsXxuvEu20CnDg7LUNFDY,340254,0.333,0.0634,3,-26.645,0,0.0516,0.994,0.927,0.136,0.45,168.232,155880,4
Dua Lipa,Not My Problem (feat. JID),spotify:track:69GVTnxGmUlF2ymLPL2CEp,890690,0.695,0.732,0,-3.308,1,0.317,0.442,0.0,0.428,0.802,107.926,143176,4
Fleece,So Long,spotify:track:3nHgm1n3A6J6mm30RLsipY,363250,0.562,0.469,4,-5.537,1,0.0354,0.101,0.0014,0.108,0.466,91.164,181625,4
Weston Estate,Close The Door,spotify:track:07FZOq9SUuITVCNE0oTm1k,231794,0.617,0.51,0,-8.465,0,0.0289,0.64,0.000266,0.116,0.705,116.952,231795,4
Paul L. Fine,C Shanties,spotify:track:0HUKBYF47hd2K14BMHQ2z7,4365,0.395,0.101,0,-23.384,1,0.12,0.99,0.922,0.0886,0.318,171.892,238253,4
Greg Kramer,Tell Me,spotify:track:5Dild55fDJq1VthU1RQvF2,245816,0.49,0.391,0,-8.558,1,0.0292,0.0961,0.187,0.118,0.372,143.915,245817,4
Surfaces,24 / 7 / 365,spotify:track:0ClnfM4PI0wjlCVTJc9lP7,6806200,0.752,0.65,4,-6.194,1,0.0334,0.264,1.38e-06,0.313,0.904,141.16,177000,4
Billie Eilish,ocean eyes,spotify:track:7hDVYcQq6MxkdJGweuCtl9,539702,0.511,0.363,4,-7.65,0,0.041,0.816,0.0317,0.084,0.169,144.892,200379,4
Lukas Stevens,STRESSED OUT,spotify:track:50rZgpizfWuK4ekhQ4PAqB,134400,0.445,0.301,7,-9.275,0,0.0443,0.946,1.23e-05,0.115,0.285,148.99,134400,4
